name,size,type,alignment,ac,hp,move,str,dex,con,int,wis,cha,challenge,saves,total_save_bonus,skills,senses,languages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,DPR,attack_bonus,
Quasit,Tiny,fiend,shapechanger),13,7,40 ft.,5,17,10,7,10,10,1,,0,Stealth +5,"Darkvision 120 ft.,  Passive Perception 10","Abyssal, Common",,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,Poisoned,,,
Quipper,Tiny,beast,unaligned,13,1,"0 ft., swim 40 ft.",2,16,9,1,7,2,0,,0,,"Darkvision 60 ft.,  Passive Perception 8",--,,,,,,,
Rakshasa,Medium,fiend,lawful evil,16,110,40 ft.,14,17,18,13,16,20,13,,0,"Deception +10, Insight +8","Darkvision 60 ft.,  Passive Perception 13","Common, Infernal",Piercing from Magic Weapons Wielded by Good Creatures,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,
Rat,Tiny,beast,unaligned,10,1,20 ft.,2,11,9,2,10,4,0,,0,,"Darkvision 30 ft.,  Passive Perception 10",--,,,,,,,
Raven,Tiny,beast,unaligned,12,1,"10 ft., fly 50 ft.",2,14,8,2,12,6,0,,0,Perception +3,Passive Perception 13,--,,,,,,,
Red Dragon Wyrmling,Medium,dragon,chaotic evil,17,75,"30 ft., climb 30 ft., fly 60 ft.",19,10,17,12,11,15,4,"DEX +2, CON +5, WIS +2, CHA +4",13,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Fire,,,,
Reef Shark,Medium,beast,unaligned,12,22,"0 ft., swim 40 ft.",14,13,13,1,10,4,0.5,,0,Perception +2,"Blindsight 30 ft.,  Passive Perception 12",--,,,,,,,
Remorhaz,Huge,monstrosity,unaligned,17,195,"30 ft., burrow 20 ft.",24,13,21,4,10,5,11,,0,,"Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 10",--,,,"Cold, Fire",,,,
Rhinoceros,Large,beast,unaligned,11,45,40 ft.,21,8,15,2,12,6,2,,0,,Passive Perception 11,--,,,,,,,
Riding Horse,Large,beast,unaligned,10,13,60 ft.,16,10,12,2,11,7,0.25,,0,,Passive Perception 10,--,,,,,,,
Roc,Gargantuan,monstrosity,unaligned,15,248,"20 ft., fly 120 ft.",28,10,20,3,10,9,11,"DEX +4, CON +9, WIS +4, CHA +3",20,Perception +4,Passive Perception 14,--,,,,,,,
Roper,Large,monstrosity,neutral evil,20,93,"10 ft., climb 10 ft.",18,8,17,7,16,6,5,,0,"Perception +6, Stealth +5","Darkvision 60 ft.,  Passive Perception 16",--,,,,,,,
Rug of Smothering,Large,construct,unaligned,12,33,10 ft.,17,14,10,1,3,1,2,,0,,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 6",--,,,"Poison, Psychic","Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned",,,
Rust Monster,Medium,monstrosity,unaligned,14,27,40 ft.,13,12,13,2,13,6,0.5,,0,,"Darkvision 60 ft.,  Passive Perception 11",--,,,,,,,
Saber-Toothed Tiger,Large,beast,unaligned,12,52,40 ft.,18,14,15,3,12,8,2,,0,"Perception +3, Stealth +6",Passive Perception 13,--,,,,,,,
Sahuagin,Medium,humanoid,lawful evil,12,22,"30 ft., swim 40 ft.",13,11,12,12,13,9,0.5,,0,Perception +5,"Darkvision 120 ft.,  Passive Perception 15",Sahuagin,,,,,,,
Salamander,Large,elemental,neutral evil,15,90,30 ft.,18,14,15,11,10,12,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Ignan,Cold,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Fire,,,,
Satyr,Medium,fey,chaotic neutral,14,31,40 ft.,12,16,11,12,10,14,0.5,,0,"Perception +2, Performance +6, Stealth +5",Passive Perception 12,"Common, Elvish, Sylvan",,,,,,,
Scorpion,Tiny,beast,unaligned,11,1,10 ft.,2,11,8,1,8,2,0,,0,,"Blindsight 10 ft.,  Passive Perception 9",--,,,,,,,
Scout,Medium,humanoid,any alignment,13,16,30 ft.,11,14,12,11,13,11,0.5,,0,"Nature +4, Perception +5, Stealth +6, Survival +5",Passive Perception 15,Any one language (usually Common),,,,,,,
Sea Hag,Medium,fey,chaotic evil,14,52,"30 ft., swim 40 ft.",16,13,16,12,12,13,2,,0,,"Darkvision 60 ft.,  Passive Perception 11","Aquan, Common, Giant",,,,,,,
Sea Horse,Tiny,beast,unaligned,11,1,"0 ft., swim 20 ft.",1,12,8,1,10,2,0,,0,,Passive Perception 10,--,,,,,,,
Shadow,Medium,undead,chaotic evil,12,16,40 ft.,6,14,13,6,10,8,0.5,,0,Stealth +4,"Darkvision 60 ft.,  Passive Perception 10",--,Radiant,"Acid, Cold, Fire, Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Necrotic, Poison","Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained",,,
Shambling Mound,Large,plant,unaligned,15,136,"20 ft., swim 20 ft.",18,8,16,5,10,5,5,,0,Stealth +2,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 10",--,,"Cold, Fire",Lightning,"Blinded, Deafened, Exhaustion",,,
Shield Guardian,Large,construct,unaligned,17,142,30 ft.,18,8,18,7,10,3,7,,0,,"Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 10",Understands commands given in any language but can't speak,,,Poison,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned",,,
Shrieker,Medium,plant,unaligned,5,13,0 ft.,1,1,10,1,3,1,0,,0,,"Blindsight 30 ft. (blind beyond this radius),  Passive Perception 6",--,,,,"Blinded, Deafened, Frightened",,,
Silver Dragon Wyrmling,Medium,dragon,lawful good,17,45,"30 ft., fly 60 ft.",19,10,17,12,11,15,2,"DEX +2, CON +5, WIS +2, CHA +4",13,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Cold,,,,
Skeleton,Medium,undead,lawful evil,13,13,30 ft.,10,14,15,6,8,5,0.25,,0,,"Darkvision 60 ft.,  Passive Perception 9",Understands all languages it knew in life but can't speak,Bludgeoning,,Poison,"Exhaustion, Poisoned",,,
Solar,Large,celestial,lawful good,21,243,"50 ft., fly 150 ft.",26,22,26,25,25,30,21,"INT +14, WIS +14, CHA +17",18,Perception +14,"Truesight 120 ft.,  Passive Perception 24","All, Telepathy 120 ft.",,"Radiant; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Necrotic, Poison","Charmed, Exhaustion, Frightened, Poisoned",,,
Spectator,Medium,aberration,lawful neutral,14,39,"0 ft., fly 30 ft. (hover)",8,14,14,13,14,11,3,,0,Perception +6,"Darkvision 120 ft.,  Passive Perception 16","Deep Speech, Telepathy 120 ft., Undercommon",,,,Prone,,,
Specter,Medium,undead,chaotic evil,12,22,"0 ft., fly 50 ft. (hover)",1,14,11,10,10,11,1,,0,,"Darkvision 60 ft.,  Passive Perception 10",Understands all languages it knew in life but can't speak,,"Acid, Cold, Fire, Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Necrotic, Poison","Charmed, Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",,,
Spider,Tiny,beast,unaligned,12,1,"20 ft., climb 20 ft.",2,14,8,1,10,2,0,,0,Stealth +4,"Darkvision 30 ft.,  Passive Perception 10",--,,,,,,,
Spirit Naga,Large,monstrosity,chaotic evil,15,75,40 ft.,18,17,14,16,15,16,8,"DEX +6, CON +5, WIS +5, CHA +6",22,,"Darkvision 60 ft.,  Passive Perception 12","Abyssal, Common",,,Poison,"Charmed, Poisoned",,,
Sprite,Tiny,fey,neutral good,15,2,"10 ft., fly 40 ft.",3,18,10,14,13,11,0.25,,0,"Perception +3, Stealth +8",Passive Perception 13,"Common, Elvish, Sylvan",,,,,,,
Spy,Medium,humanoid,any alignment,12,27,30 ft.,10,15,10,12,14,16,1,,0,"Deception +5, Insight +4, Investigation +5, Perception +6, Persuasion +5, Sleight of Hand +4, Stealth +4",Passive Perception 16,Any two languages,,,,,,,
Steam Mephit,Small,elemental,neutral evil,10,21,"30 ft., fly 30 ft.",5,11,10,11,10,12,0.25,,0,,"Darkvision 60 ft.,  Passive Perception 10","Aquan, Ignan",,,"Fire, Poison",Poisoned,,,
Steel Defender,Medium,construct,neutral,15,15,40 ft.,14,12,14,4,10,6,0,"DEX +3, CON +4",7,"Athletics +4, Perception +4","Darkvision 60 ft.,  Passive Perception 14",understands the languages you speak,,,Poison,"Charmed, Exhaustion, Poisoned",,,
Stirge,Tiny,beast,unaligned,14,2,"10 ft., fly 40 ft.",4,16,11,2,8,6,0.125,,0,,"Darkvision 60 ft.,  Passive Perception 9",--,,,,,,,
Stone Giant,Huge,giant,neutral,17,126,40 ft.,23,15,20,10,12,9,7,"DEX +5, CON +8, WIS +4",17,"Athletics +12, Perception +4","Darkvision 60 ft.,  Passive Perception 14",Giant,,,,,,,
Stone Golem,Large,construct,unaligned,17,178,30 ft.,22,9,20,3,11,1,10,,0,,"Darkvision 120 ft.,  Passive Perception 10",Understands the languages of its creator but can't speak,,,"Poison, Psychic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,
Storm Giant,Huge,giant,chaotic good,16,230,"50 ft., swim 50 ft.",29,14,20,16,18,18,13,"STR +14, CON +10, WIS +9, CHA +9",24,"Arcana +8, Athletics +14, History +8, Perception +9",Passive Perception 19,"Common, Giant",,Cold,"Lightning, Thunder",,,,
Succubus,Medium,fiend,neutral evil,15,66,"30 ft., fly 60 ft.",8,17,13,15,12,20,4,,0,"Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","Darkvision 60 ft.,  Passive Perception 15","Abyssal, Common, Infernal, Telepathy 60 ft.",,"Cold, Fire, Lightning, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,,
Swarm of Bats,Medium,swarm,unaligned,12,22,"0 ft., fly 30 ft.",5,15,10,2,12,4,0.25,,0,,"Blindsight 60 ft.,  Passive Perception 11",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Insects,Medium,swarm,unaligned,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,0.5,,0,,"Blindsight 10 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Insects (Beetles),Medium,swarm,unaligned,12,22,"20 ft., climb 20 ft., burrow 5 ft.",3,13,10,1,7,1,0.5,,0,,"Blindsight 10 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Insects (Centipedes),Medium,swarm,unaligned,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,0.5,,0,,"Blindsight 10 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Insects (Spiders),Medium,swarm,unaligned,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,0.5,,0,,"Blindsight 10 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Insects (Wasps),Medium,swarm,unaligned,12,22,"5 ft., fly 30 ft.",3,13,10,1,7,1,0.5,,0,,"Blindsight 10 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Poisonous Snakes,Medium,swarm,unaligned,14,36,"30 ft., swim 30 ft.",8,18,11,1,10,3,2,,0,,"Blindsight 10 ft.,  Passive Perception 10",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Quippers,Medium,swarm,unaligned,13,28,"0 ft., swim 40 ft.",13,16,9,1,7,2,1,,0,,"Darkvision 60 ft.,  Passive Perception 8",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Rats,Medium,swarm,unaligned,10,24,30 ft.,9,11,9,2,10,3,0.25,,0,,"Darkvision 30 ft.,  Passive Perception 10",--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Swarm of Ravens,Medium,swarm,unaligned,12,24,"10 ft., fly 50 ft.",6,14,8,3,12,6,0.25,,0,Perception +5,Passive Perception 15,--,,"Bludgeoning, Piercing, Slashing",,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",,,
Tarrasque,Gargantuan,monstrosity,unaligned,25,676,40 ft.,30,11,30,3,11,11,30,"INT +5, WIS +9, CHA +9",23,,"Blindsight 120 ft.,  Passive Perception 10",--,,,"Fire, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Charmed, Frightened, Paralyzed, Poisoned",,,
Thug,Medium,humanoid,any non-good alignment,11,32,30 ft.,15,11,14,10,10,11,0.5,,0,Intimidation +2,Passive Perception 10,Any one language (usually Common),,,,,,,
Tiger,Large,beast,unaligned,12,37,40 ft.,17,15,14,3,12,8,1,,0,"Perception +3, Stealth +6","Darkvision 60 ft.,  Passive Perception 13",--,,,,,,,
Treant,Huge,plant,chaotic good,16,138,30 ft.,23,8,21,12,16,12,9,,0,,Passive Perception 13,"Common, Druidic, Elvish, Sylvan",Fire,"Bludgeoning, Piercing",,,,,
Tribal Warrior,Medium,humanoid,any alignment,12,11,30 ft.,13,11,12,8,11,8,0.125,,0,,Passive Perception 10,Any one language,,,,,,,
Triceratops,Huge,beast,unaligned,13,95,50 ft.,22,9,17,2,11,5,5,,0,,Passive Perception 10,--,,,,,,,
Troll,Large,giant,chaotic evil,15,84,30 ft.,18,13,20,7,9,7,5,,0,Perception +2,"Darkvision 60 ft.,  Passive Perception 12",Giant,,,,,,,
Twig Blight,Small,plant,neutral evil,13,4,20 ft.,6,13,12,4,8,3,0.125,,0,Stealth +3,"Blindsight 60 ft. (blind beyond this radius),  Passive Perception 9",Common understands but can’t speak,Fire,,,"Blinded, Deafened",,,
Tyrannosaurus Rex,Huge,beast,unaligned,13,136,50 ft.,25,10,19,2,12,9,8,,0,Perception +4,Passive Perception 14,--,,,,,,,
Unicorn,Large,celestial,lawful good,12,67,50 ft.,18,14,15,11,17,16,5,,0,,"Darkvision 60 ft.,  Passive Perception 13","Celestial, Elvish, Sylvan, Telepathy 60 ft.",,,Poison,"Charmed, Paralyzed, Poisoned",,,
Vampire,Medium,undead,lawful evil,16,144,30 ft.,18,18,18,17,15,18,13,"DEX +9, WIS +7, CHA +9",25,"Perception +7, Stealth +9","Darkvision 120 ft.,  Passive Perception 17",the languages it knew in life,,"Necrotic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,,
Vampire Spawn,Medium,undead,neutral evil,15,82,30 ft.,16,16,16,11,10,12,5,"DEX +6, WIS +3",9,"Perception +3, Stealth +6","Darkvision 60 ft.,  Passive Perception 13",the languages it knew in life,,"Necrotic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,,
Veteran,Medium,humanoid,any alignment,17,58,30 ft.,16,13,14,10,11,10,3,,0,"Athletics +5, Perception +2",Passive Perception 12,Any one language (usually Common),,,,,,,
Violet Fungus,Medium,plant,unaligned,5,18,5 ft.,3,1,10,1,3,1,0.25,,0,,"Blindsight 30 ft. (blind beyond this radius),  Passive Perception 6",--,,,,"Blinded, Deafened, Frightened",,,
Vrock,Large,fiend,chaotic evil,15,104,"40 ft., fly 60 ft.",17,15,18,8,13,8,6,"DEX +5, WIS +4, CHA +2",11,,"Darkvision 120 ft.,  Passive Perception 11","Abyssal, Telepathy 120 ft.",,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,Poisoned,,,
Vulture,Medium,beast,unaligned,10,5,"10 ft., fly 50 ft.",7,10,13,2,12,4,0,,0,Perception +3,Passive Perception 13,--,,,,,,,
Warhorse,Large,beast,unaligned,11,19,60 ft.,18,12,13,2,12,7,0.5,,0,,Passive Perception 11,--,,,,,,,
Warhorse Skeleton,Large,undead,lawful evil,13,22,60 ft.,18,12,15,2,8,5,0.5,,0,,"Darkvision 60 ft.,  Passive Perception 9",--,Bludgeoning,,Poison,"Exhaustion, Poisoned",,,
Water Elemental,Large,elemental,neutral,14,114,"30 ft., swim 90 ft.",18,14,18,5,10,8,5,,0,,"Darkvision 60 ft.,  Passive Perception 10",Aquan,,"Acid; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",,,
Weasel,Tiny,beast,unaligned,13,1,30 ft.,3,16,8,2,12,3,0,,0,"Perception +3, Stealth +5",Passive Perception 13,--,,,,,,,
Werebear,Medium,humanoid,shapechanger),10,135,"30 ft., 40 ft., climb 30 ft. in bear or hybrid form",19,10,17,11,12,12,5,,0,Perception +7,Passive Perception 17,Common (can't speak in bear form),,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,,,
Wereboar,Medium,humanoid,shapechanger),10,78,"30 ft., 40 ft. in boar form",17,10,15,10,11,8,4,,0,Perception +2,Passive Perception 12,Common (can't speak in boar form),,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,,,
Wererat,Medium,humanoid,shapechanger),12,33,30 ft.,10,15,12,11,10,8,2,,0,"Perception +2, Stealth +4","Darkvision 60 ft.,  Passive Perception 12",Common (can't speak in rat form),,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,,,
Weretiger,Medium,humanoid,shapechanger),12,120,"30 ft., 40 ft. in tiger form",17,15,16,10,13,11,4,,0,"Perception +5, Stealth +4","Darkvision 60 ft.,  Passive Perception 15",Common (can't speak in tiger form),,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,,,
Werewolf,Medium,humanoid,shapechanger),11,58,"30 ft., 40 ft. in wolf form",15,13,14,10,11,10,3,,0,"Perception +4, Stealth +3",Passive Perception 14,Common (can't speak in wolf form),,,"Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",,,,
White Dragon Wyrmling,Medium,dragon,chaotic evil,16,32,"30 ft., burrow 15 ft., fly 60 ft., swim 30 ft.",14,10,14,5,10,11,2,"DEX +2, CON +4, WIS +2, CHA +2",10,"Perception +4, Stealth +2","Blindsight 10 ft., Darkvision 60 ft.,  Passive Perception 14",Draconic,,,Cold,,,,
Wight,Medium,undead,neutral evil,14,45,30 ft.,15,14,16,10,13,15,3,,0,"Perception +3, Stealth +4","Darkvision 60 ft.,  Passive Perception 13",The languages it knew in life,,"Necrotic; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered",Poison,"Exhaustion, Poisoned",,,
Will-o'-Wisp,Tiny,undead,chaotic evil,19,22,"0 ft., fly 50 ft. (hover)",1,28,10,13,14,11,2,,0,,"Darkvision 120 ft.,  Passive Perception 12",The languages it knew in life,,"Acid, Cold, Fire, Necrotic, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks","Lightning, Poison","Exhaustion, Grappled, Paralyzed, Poisoned, Prone, Restrained, Unconscious",,,
Winter Wolf,Large,monstrosity,neutral evil,13,75,50 ft.,18,13,14,7,12,8,3,,0,"Perception +5, Stealth +3",Passive Perception 15,"Common, Giant, Winter Wolf",,,Cold,,,,
Wolf,Medium,beast,unaligned,13,11,40 ft.,12,15,12,3,12,6,0.25,,0,"Perception +3, Stealth +4",Passive Perception 13,--,,,,,,,
Worg,Large,monstrosity,neutral evil,13,26,50 ft.,16,13,13,7,11,8,0.5,,0,Perception +4,"Darkvision 60 ft.,  Passive Perception 14","Goblin, Worg",,,,,,,
Wraith,Medium,undead,neutral evil,13,67,"0 ft., fly 60 ft. (hover)",6,16,16,12,14,15,5,,0,,"Darkvision 60 ft.,  Passive Perception 12",The languages it knew in life,,"Acid, Cold, Fire, Lightning, Thunder; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks that aren't Silvered","Necrotic, Poison","Charmed, Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained",,,
Wyvern,Large,dragon,unaligned,13,110,"20 ft., fly 80 ft.",19,10,16,5,12,6,6,,0,Perception +4,"Darkvision 60 ft.,  Passive Perception 14",--,,,,,,,
Xorn,Medium,elemental,neutral,19,73,"20 ft., burrow 20 ft.",17,10,22,11,10,11,5,,0,"Perception +6, Stealth +3","Darkvision 60 ft., Tremorsense 60 ft.,  Passive Perception 16",Terran,,Piercing and Slashing from Nonmagical Attacks that aren't Adamantine,,,,,
Yeti,Large,monstrosity,chaotic evil,12,51,"40 ft., climb 40 ft.",18,13,16,8,12,7,3,null,0,"Perception +3, Stealth +3","Darkvision 60 ft.,  Passive Perception 13",Yeti,null,null,Cold,null,,,
Young Black Dragon,Large,dragon,chaotic evil,18,127,"40 ft., fly 80 ft., swim 40 ft.",19,14,17,12,11,15,7,"DEX +5, CON +6, WIS +3, CHA +5",19,"Perception +6, Stealth +5","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 16","Common, Draconic",null,null,Acid,null,,,
Young Blue Dragon,Large,dragon,lawful evil,18,152,"40 ft., burrow 20 ft., fly 80 ft.",21,10,19,14,13,17,9,"DEX +4, CON +8, WIS +5, CHA +7",24,"Perception +9, Stealth +4","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 19","Common, Draconic",null,null,Lightning,null,,,
Young Brass Dragon,Large,dragon,chaotic good,17,110,"40 ft., burrow 20 ft., fly 80 ft.",19,10,17,12,11,15,6,"DEX +3, CON +6, WIS +3, CHA +5",17,"Perception +6, Persuasion +5, Stealth +3","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 16","Common, Draconic",null,null,Fire,null,,,
Young Bronze Dragon,Large,dragon,lawful good,18,142,"40 ft., fly 80 ft., swim 40 ft.",21,10,19,14,13,17,8,"DEX +3, CON +7, WIS +4, CHA +6",20,"Insight +4, Perception +7, Stealth +3","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 17","Common, Draconic",null,null,Lightning,null,,,
Young Copper Dragon,Large,dragon,chaotic good,17,119,"40 ft., climb 40 ft., fly 80 ft.",19,12,17,16,13,15,7,"DEX +4, CON +6, WIS +4, CHA +5",19,"Deception +5, Perception +7, Stealth +4","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 17","Common, Draconic",null,null,Acid,null,,,
Young Gold Dragon,Large,dragon,lawful good,18,178,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,16,13,20,10,"DEX +6, CON +9, WIS +5, CHA +9",29,"Insight +5, Perception +9, Persuasion +9, Stealth +6","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 19","Common, Draconic",null,null,Fire,null,,,
Young Green Dragon,Large,dragon,lawful evil,18,136,"40 ft., fly 80 ft., swim 40 ft.",19,12,17,16,13,15,8,"DEX +4, CON +6, WIS +4, CHA +5",19,"Deception +5, Perception +7, Stealth +4","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 17","Common, Draconic",null,null,Poison,Poisoned,,,
Young Red Dragon,Large,dragon,chaotic evil,18,178,"40 ft., climb 40 ft., fly 80 ft.",23,10,21,14,11,19,10,"DEX +4, CON +9, WIS +4, CHA +8",25,"Perception +8, Stealth +4","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 18","Common, Draconic",null,null,Fire,null,,,
Young Silver Dragon,Large,dragon,lawful good,18,168,"40 ft., fly 80 ft.",23,10,21,14,11,19,9,"DEX +4, CON +9, WIS +4, CHA +8",25,"Arcana +6, History +6, Perception +8, Stealth +4","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 18","Common, Draconic",null,null,Cold,null,,,
Young White Dragon,Large,dragon,chaotic evil,17,133,"40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18,10,18,6,11,12,6,"DEX +3, CON +7, WIS +3, CHA +4",17,"Perception +6, Stealth +3","Blindsight 30 ft., Darkvision 120 ft.,  Passive Perception 16","Common, Draconic",null,null,Cold,null,,,
Zombie,Medium,undead,neutral evil,8,22,20 ft.,13,6,16,3,6,5,0.25,WIS +0,0,null,"Darkvision 60 ft.,  Passive Perception 8",Understands the languages of its creator but can't speak,null,null,Poison,Poisoned,,,
